Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3251173;1;1;1;10;1;1;1;7;1934;79;1;3;1; ; ;1;5; ;2;1;2; ;3;2; ;2;2;07;73;737,216535823473
3251173;1;2;1;10;2;2;1;1;1938;75;2;3;1; ; ;1;5; ;2;1;2; ;3;1; ;2;1;07;73;737,216535823473
3251174;1;1;1;10;1;1;1;4;1945;68;1;3;1; ; ;2;5; ;1;1;2; ;3;1; ;2;1;07;73;737,216535823473
3251174;1;2;1;10;2;2;1;7;1953;60;2;3;1; ; ;2;5; ;2;1;2; ;3;5; ;2;5;07;73;737,216535823473
3251175;1;1;1;10;1;1;1;10;1965;47;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;07;73;879,081231685228
3251177;1;1;1;10;1;1;1;10;1969;43;1;2;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;07;73;933,069094487492
3251177;1;2;1;10;2;2;1;1;1985;28;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;07;73;933,069094487492
3251177;1;3;1;10;2;2;1;6;2002;11;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;07;73;933,069094487492
3251177;1;4;1;10;2;2;1;5;2005;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;07;73;933,069094487492
3251177;1;5;1;10;2;1;1;11;2008;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;07;73;933,069094487492
3251177;1;6;1;10;2;1;1;6;2012;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;07;73;933,069094487492
3251177;1;7;1;10;7;1;1;2;1937;76;5;5;1; ; ;3; ; ;1;1;2; ;3;1; ;2;1;07;73;933,069094487492
3251178;1;1;1;10;1;2;1;7;1950;62;1;5;1; ; ;3; ; ;1;1;2; ;3;3; ;2;3;07;73;595,81825549155
3251178;1;2;1;10;2;2;1;11;1968;44;3;2;1; ; ;3; ; ;1;1;2; ;4;9; ;2;9;07;73;595,81825549155
3251178;1;3;1;10;3;1;1;6;1975;38;5;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;07;73;595,81825549155
3251178;1;4;1;10;2;1;1;6;2007;6;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;07;73;595,81825549155
3251179;1;1;1;10;1;1;1;5;1940;73;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;07;73;892,692562300894
3251179;1;2;1;10;2;1;1;3;1958;55;5;4;2;2; ; ; ; ;2;1;2; ;4;8; ;2;8;07;73;892,692562300894
3251180;1;1;1;10;1;2;1;6;1978;35;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;07;73;919,911674139642
3251180;1;2;1;10;2;1;1;7;1970;42;2;1;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;07;73;919,911674139642
3251180;1;3;1;10;1;1;1;3;1997;16;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;07;73;919,911674139642
3251181;1;1;1;10;1;1;1;12;1951;61;1;2;1; ; ;1;5; ;1;1;2; ;3;5; ;2;5;07;73;628,295393324207
