DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,CLASE,DPTO,fex_c_2011
638713,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,222.148.016.226.531
638713,1,2,50,2,6,TRASTEANDO,1,,,,,,,,,,,,,,2,25,222.148.016.226.531
638713,1,3,50,2,3,,2,2,2,1,1,,,,,,,,,1,2,25,222.148.016.226.531
638717,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,332.114.092.808.916
638717,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,332.114.092.808.916
638717,1,5,50,1,1,,,,,,,,,,,,,,,,2,25,332.114.092.808.916
638723,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,26.000.703.153.104
638723,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,26.000.703.153.104
638753,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,238.752.836.859.572
638753,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,238.752.836.859.572
638753,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,238.752.836.859.572
638759,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,239.630.595.219.798
638759,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,239.630.595.219.798
638762,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,227.555.353.471.691
638762,1,2,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,227.555.353.471.691
638764,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,203.635.511.844.727
638764,1,2,50,1,2,,2,2,2,1,1,,,,,,,,,1,2,25,203.635.511.844.727
638764,1,3,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,203.635.511.844.727
638778,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,249.199.966.028.557
638798,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,146.839.958.491.146
638803,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,146.839.958.491.146
638805,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
638805,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
645737,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,181.650.530.119.448
645737,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,181.650.530.119.448
645737,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,181.650.530.119.448
645739,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,147.454.971.558.058
645739,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,147.454.971.558.058
645739,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,147.454.971.558.058
645740,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,26.000.703.153.104
645740,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,26.000.703.153.104
645741,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,240.157.570.227.964
645741,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,240.157.570.227.964
645741,1,3,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,240.157.570.227.964
645741,1,4,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,240.157.570.227.964
645742,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
645742,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
645749,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,131.593.729.724.668
645749,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,131.593.729.724.668
645751,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,249.759.340.847.808
645751,1,2,50,2,4,,2,2,2,2,,,1,2,,2,,2,,,2,25,249.759.340.847.808
645751,1,3,50,2,3,,2,2,2,1,3,,,,,,,,,1,2,25,249.759.340.847.808
645751,1,4,50,2,4,,2,2,2,1,2,,,,,,,,,1,2,25,249.759.340.847.808
645751,1,5,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,249.759.340.847.808
645752,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,314.804.473.394.608
645752,1,2,50,2,4,,2,2,2,1,1,,,,,,,,,1,2,25,314.804.473.394.608
645752,1,3,50,1,1,,,,,,,,,,,,,,,,2,25,314.804.473.394.608
645752,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,314.804.473.394.608
645754,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,189.485.661.336.321
645754,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,189.485.661.336.321
645754,1,3,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,189.485.661.336.321
645754,1,4,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,189.485.661.336.321
645755,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,131.593.729.724.668
645755,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,131.593.729.724.668
645758,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,31.867.216.562.849
645758,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,31.867.216.562.849
645758,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,31.867.216.562.849
646419,1,1,50,3,1,,,,,,,,,,,,,,,,2,25,195.343.254.767.719
646419,1,2,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,195.343.254.767.719
646419,1,3,50,3,1,,,,,,,,,,,,,,,,2,25,195.343.254.767.719
646420,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,370.767.586.522.765
646420,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,370.767.586.522.765
646421,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,687.588.290.267.059
646421,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,687.588.290.267.059
646421,1,3,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,687.588.290.267.059
646421,1,4,50,3,1,,,,,,,,,,,,,,,,2,25,687.588.290.267.059
646421,1,5,50,3,1,,,,,,,,,,,,,,,,2,25,687.588.290.267.059
646421,1,6,50,3,2,,2,2,2,1,1,,,,,,,,,1,2,25,687.588.290.267.059
646421,1,10,50,2,1,,,,,,,,,,,,,,,,2,25,687.588.290.267.059
646422,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,401.255.601.264.534
646422,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,401.255.601.264.534
646422,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,401.255.601.264.534
646422,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,401.255.601.264.534
646422,1,5,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,401.255.601.264.534
646422,1,6,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,401.255.601.264.534
646423,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,246.175.347.845.021
646423,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,246.175.347.845.021
