DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;MES;DPTO;fex_c_2011
2338848;1;1;1;10;1;1;1;7;1963;46;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;05;17;967,14620787303
2338848;1;2;1;10;2;2;1;9;1967;42;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;05;17;967,14620787303
2338848;1;3;1;10;3;2;1;4;1991;19;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;05;17;967,14620787303
2338848;1;4;1;10;2;2;1;12;1994;15;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;05;17;967,14620787303
2338851;1;1;1;10;1;1;1;11;1950;59;1;3;1; ; ;1;5; ;2;1;2; ;4;8; ;2;8;05;17;1436,80467827968
2338851;1;2;1;10;2;2;1;5;1955;55;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;05;17;1436,80467827968
2338851;1;3;1;10;2;2;1;7;2002;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;05;17;1436,80467827968
2338852;1;1;1;10;1;2;1;12;1945;64;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;17;2164,49138696708
2338852;1;2;1;10;2;2;1;3;1992;18;4;6;1; ; ;3; ; ;2;1;2; ;5;10;1;2;10;05;17;2164,49138696708
2338852;1;3;1;10;2;1;1;6;2008;1;5; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;05;17;2164,49138696708
2338852;1;4;1;10;4;1;1;8;1993;16;4;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;05;17;2164,49138696708
2338852;1;5;1;10;1;2;1;11;1995;14;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;05;17;2164,49138696708
2338852;1;6;1;10;1;1;1;11;1998;11;4;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;05;17;2164,49138696708
2338852;1;7;1;10;1;1;1;3;2000;10;4;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;05;17;2164,49138696708
2338855;1;1;1;10;1;1;1;10;1961;48;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;05;17;1341,63167159143
2338855;1;2;1;10;2;2;1;10;1959;50;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;05;17;1341,63167159143
2338855;1;3;1;10;3;1;1;8;1986;23;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;17;1341,63167159143
2338855;1;4;1;10;2;1;1;6;1996;13;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;05;17;1341,63167159143
2338855;1;5;1;10;2;2;1;12;1997;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;05;17;1341,63167159143
2338858;1;1;1;10;1;1;1;7;1961;48;1;3;1; ; ;1;1;20600;2;2;2; ;1;0; ;2;0;05;17;928,643334010281
2338858;1;2;1;10;2;2;1;10;1967;42;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;05;17;928,643334010281
2338861;1;1;1;10;1;2;1;3;1923;87;1;5;1; ; ;1;2;53000;2;1;2; ;3;5; ;2;5;05;17;1188,4357542706
2338861;1;2;1;10;2;1;1;2;1950;60;3;6;2;1;120; ; ; ;1;1;2; ;3;5; ;2;5;05;17;1188,4357542706
2338861;1;3;1;10;1;2;1;9;1944;65;3;6;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;05;17;1188,4357542706
2338861;1;4;1;10;4;1;1;12;1957;52;3;6;2;2; ; ; ; ;2;1;2; ;4;7; ;2;7;05;17;1188,4357542706
2338861;1;5;1;10;5;2;1;12;1961;48;3;6;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;05;17;1188,4357542706
2338863;1;1;1;10;1;1;1;3;1950;60;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;05;17;1207,51513249668
2338867;1;1;1;10;1;1;1;6;1974;35;1;3;1; ; ;1;3;64400;2;1;2; ;6;3;3;2;14;05;17;838,685712555619
2338867;1;2;1;10;2;2;1;10;1984;25;2;3;1; ; ;1;5; ;2;1;1;1;6;0;2;2;11;05;17;838,685712555619
2338867;1;3;1;10;1;1;1;11;2006;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;05;17;838,685712555619
2338867;2;1;2;10;1;1;1;6;1957;52;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;05;17;838,685712555619
2338867;2;2;2;10;2;2;1;7;1966;43;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;17;838,685712555619
2338867;2;3;2;10;3;1;1;2;1986;24;3;6;1; ; ;3; ; ;2;1;1;1;6;3;4;2;14;05;17;838,685712555619
2338867;2;4;2;10;2;1;1;9;1995;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;05;17;838,685712555619
2338867;2;5;2;10;5;2;1;3;1959;51;5;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;17;838,685712555619
2338867;2;6;2;10;6;1;1;7;1947;62;5;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;05;17;838,685712555619
2338871;1;1;1;10;1;1;1;12;1969;40;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;05;17;928,643334010281
2338871;1;2;1;10;2;2;1;1;1959;51;2;2;2;1;60; ; ; ;2;1;2; ;3;3; ;2;3;05;17;928,643334010281
2338873;1;1;1;10;1;1;1;2;1977;33;1;3;1; ; ;1;3;64400;2;1;2; ;5;11;2;2;11;05;17;1000,17157413193
2338873;1;2;1;10;2;2;1;11;1974;35;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;05;17;1000,17157413193
2338873;1;3;1;10;2;2;1;5;2003;7;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ;2;0;05;17;1000,17157413193
2348574;1;1;1;10;1;1;1;8;1934;75;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;19;1275,54966186184
2348574;1;2;1;10;2;2;2; ; ;40;3;4;1; ; ;3; ; ;2;1;1;2;3;5; ;2;5;05;19;1275,54966186184
2348574;1;3;1;10;3;1;1;5;1984;25;5;2;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;05;19;1275,54966186184
2348574;1;4;1;10;4;2;1;10;1992;17;9;2;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;05;19;1275,54966186184
2348575;1;1;1;10;1;1;1;3;1951;59;1;2;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;05;19;1191,52657445755
2348575;1;2;1;10;2;2;1;11;1953;56;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;05;19;1191,52657445755
2348575;1;3;1;10;3;2;1;10;1992;17;3;6;1; ; ;3; ; ;1;1;2; ;5;10;1;2;10;05;19;1191,52657445755
2348575;1;4;1;10;2;1;1;12;2009;0;4; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;05;19;1191,52657445755
2348575;1;5;1;10;5;2;1;3;1994;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;05;19;1191,52657445755
2348575;1;6;1;10;6;1;1;8;1999;10;3;6;2;2; ; ; ; ;1;1;1;1;3;3; ;2;3;05;19;1191,52657445755
2348575;1;7;1;10;7;2;1;1;1998;12;4;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;05;19;1191,52657445755
2348575;1;8;1;10;3;2;1;10;2001;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;05;19;1191,52657445755
2348575;1;9;1;10;3;2;1;3;2007;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;1191,52657445755
2348576;1;1;1;10;1;2;2; ; ;60;1;5;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;05;19;1822,73627641592
2348576;1;2;1;10;2;1;1;9;1969;40;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;19;1822,73627641592
2348577;1;1;1;10;1;1;1;3;1928;82;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;05;19;2420,81931060459
2348577;1;2;1;10;2;1;2; ; ;45;3;6;2;2; ; ; ; ;2;1;2; ;1;0; ;2;0;05;19;2420,81931060459
2348577;1;3;1;10;3;1;2; ; ;43;3;6;2;2; ; ; ; ;2;1;2; ;3;1; ;2;1;05;19;2420,81931060459
2348577;2;1;2;10;1;1;1;2;1982;28;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;05;19;2420,81931060459
2348577;2;2;2;10;2;2;1;1;1989;21;2;2;1; ; ;1;4; ;2;1;2; ;5;11;2;2;11;05;19;2420,81931060459
2348577;2;3;2;10;2;2;1;2;2006;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;2420,81931060459
2348578;1;1;1;10;1;1;1;1;1987;23;1;6;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;05;19;1506,03009409416
2348579;1;1;1;10;1;1;1;4;1953;57;1;2;1; ; ;3; ; ;1;1;2; ;1;0; ;2;0;05;19;1258,68211283454
2348579;1;2;1;10;2;2;1;10;1959;50;2;2;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;05;19;1258,68211283454
2348579;1;3;1;10;3;1;1;8;1991;18;3;6;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;05;19;1258,68211283454
2348579;1;4;1;10;4;1;1;10;1995;14;3;6;1; ; ;3; ; ;1;1;1;1;3;3; ;2;3;05;19;1258,68211283454
2348579;1;5;1;10;5;2;1;9;1996;13;3;6;2;2; ; ; ; ;1;1;1;1;3;4; ;2;4;05;19;1258,68211283454
2348580;1;1;1;10;1;1;1;9;1973;36;1;3;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;05;19;907,081386017033
2348580;1;2;1;10;2;2;1;3;1975;35;2;3;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;05;19;907,081386017033
2348580;1;3;1;10;3;2;1;4;1996;14;3;6;1; ; ;3; ; ;1;1;1;1;4;6; ;2;6;05;19;907,081386017033
2348580;1;4;1;10;4;2;1;9;1997;12;3;6;1; ; ;3; ; ;1;1;1;1;3;5; ;2;5;05;19;907,081386017033
2348580;1;5;1;10;2;1;1;1;2002;8;3; ;1; ; ;3; ; ;1;1;1;1;3;1; ;2;1;05;19;907,081386017033
2348580;1;6;1;10;2;2;1;3;2006;4;3; ;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;05;19;907,081386017033
2348580;1;7;1;10;2;1;1;5;2010;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;05;19;907,081386017033
2348581;1;1;1;10;1;1;1;12;1974;35;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;1399,29895916372
2348581;1;2;1;10;2;2;1;10;1978;31;2;2;1; ; ;1;4; ;2;1;1;1;3;3; ;2;3;05;19;1399,29895916372
2348581;1;3;1;10;3;1;1;3;2000;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;05;19;1399,29895916372
2348581;1;4;1;10;2;1;1;1;2004;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;05;19;1399,29895916372
2348581;1;5;1;10;2;2;1;5;2007;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;1399,29895916372
2348584;1;1;1;10;1;1;1;8;1959;50;1;2;1; ; ;3; ; ;1;1;2; ;3;1; ;2;1;05;19;1618,66026119888
2348584;1;2;1;10;2;2;1;3;1959;51;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;1618,66026119888
2348584;1;3;1;10;3;1;1;11;1995;14;3;6;2;1;12; ; ; ;1;1;2; ;4;6; ;2;6;05;19;1618,66026119888
2348584;1;4;1;10;4;1;1;4;2000;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;05;19;1618,66026119888
2348584;1;5;1;10;2;2;1;3;2002;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;05;19;1618,66026119888
2348585;1;1;1;10;1;1;1;9;1950;59;1;3;2;2; ; ; ; ;1;2;2; ;1;0; ;2;0;05;19;1445,64934361282
2348585;1;2;1;10;2;2;1;1;1952;58;2;3;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;05;19;1445,64934361282
2348585;1;3;1;10;3;2;1;9;1986;23;3;6;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;05;19;1445,64934361282
2348585;1;4;1;10;3;2;1;3;2004;6;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;05;19;1445,64934361282
2348585;1;5;1;10;2;2;1;6;2006;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;05;19;1445,64934361282
2348585;1;6;1;10;3;2;1;1;2009;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;05;19;1445,64934361282
2348585;1;7;1;10;7;1;1;9;1996;13;3;6;1; ; ;3; ; ;1;1;1;1;4;0; ;2;5;05;19;1445,64934361282
2348586;1;1;1;10;1;1;1;8;1955;54;1;3;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;05;19;1379,67058168782
