DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
525523;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1018,8135035924
525523;1;2;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1018,8135035924
525523;1;4;05;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1018,8135035924
525523;1;5;05;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1018,8135035924
525523;1;6;05;50;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1018,8135035924
525528;1;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;746,699303735301
525529;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525529;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525530;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;769,932588527601
525530;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;769,932588527601
525531;1;1;05;50;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;803,067388034289
525531;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;803,067388034289
525532;1;1;05;50;1;6;CAMINAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1065,37111433288
525532;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1065,37111433288
525532;1;3;05;50;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1065,37111433288
525532;1;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1065,37111433288
525532;1;5;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1065,37111433288
525533;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;754,606198819736
525533;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;754,606198819736
525534;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;787,013614258161
525534;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;787,013614258161
525534;1;3;05;50;3;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;05;787,013614258161
525535;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;967,716280391883
525535;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;967,716280391883
525535;1;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;967,716280391883
525536;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525536;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525537;1;1;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;698,695964389353
525538;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;961,564021330142
525538;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;961,564021330142
525538;1;3;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;961,564021330142
525542;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3091,45964787138
525542;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;3091,45964787138
525542;1;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;3091,45964787138
525543;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;2840,95235133409
525543;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;2840,95235133409
525543;1;4;05;50;4;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;2840,95235133409
525544;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3091,45964787138
525544;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3091,45964787138
525544;1;3;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;3091,45964787138
525545;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;2872,11616810493
525546;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;838,964273293867
525548;1;1;05;50;1;6;CAMINAR JUGAR CON LAS AMIGAS;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;746,699303735301
525550;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;718,029042026232
525551;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;758,241427179471
525551;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;758,241427179471
525551;1;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;758,241427179471
525553;1;1;05;50;1;4; ;2;2;2;2; ; ;1;13;PRIMERO SALDARA UNA DEUDA; ; ; ; ; ;05;868,158634402125
525553;1;2;05;50;1;3; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;868,158634402125
525554;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,045299024427
525554;1;2;05;50;2;6;OCIO;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,045299024427
525555;1;1;05;50;1;6;DILIGENCIAS PERSONALES;2;2;2;2; ; ;1;8; ;2; ;2; ; ;05;944,482995599583
525555;1;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;944,482995599583
525556;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;691,469340838842
525556;1;4;05;50;4;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;691,469340838842
525557;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;779,834103241988
525558;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;870,364239002095
525558;1;2;05;50;2;3; ;2;2;2;2; ; ;1;2; ;2; ;2; ; ;05;870,364239002095
525558;1;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;870,364239002095
525558;1;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;870,364239002095
525559;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525559;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;750,599510890722
525560;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;642,241201541006
525560;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;642,241201541006
525560;1;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;642,241201541006
525560;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;642,241201541006
525560;2;2;05;50;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;642,241201541006
525561;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;769,932588527601
525561;1;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;769,932588527601
525562;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;659,992082691394
525562;1;2;05;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;659,992082691394
525562;1;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;659,992082691394
525562;1;5;05;50;5;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;659,992082691394
525562;1;6;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;659,992082691394
525563;1;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1006,49837655737
