DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;CLASE;DPTO;fex_c_2011
536655;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2546,34598775977
536655;1;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;2;25;2546,34598775977
536656;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;4;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;5;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;8;50;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2199,49761515688
536656;1;9;50;9;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;2;25;2199,49761515688
536656;1;10;50;9;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2199,49761515688
536657;1;1;50;1;4; ;2;2;2;2; ; ;1;11; ; ; ; ; ; ;2;25;1849,03950398635
536657;1;2;50;2;4; ;2;2;2;2; ; ;1;7; ;2; ;2; ; ;2;25;1849,03950398635
536657;1;3;50;2;3; ;2;2;2;2; ; ;1;12; ; ; ; ; ; ;2;25;1849,03950398635
536657;1;4;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;1849,03950398635
536658;1;1;50;2;6;ATENDIENDO A SOBRINO ENFERMO;2;1; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2506,58497417441
536658;1;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2506,58497417441
536658;1;3;50;2;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;2;25;2506,58497417441
536658;1;4;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2506,58497417441
536658;1;5;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2506,58497417441
536662;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2214,19524210927
536662;1;2;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2214,19524210927
536662;1;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2214,19524210927
536664;1;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2025,39148296403
536664;1;2;50;2;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;2;25;2025,39148296403
536664;1;3;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2025,39148296403
536664;1;4;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2025,39148296403
536664;1;5;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;25;2025,39148296403
536665;1;1;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2290,35870020914
