DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011;AREA
4048863;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1029,98664400682;05
4048864;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;937,261567072946;05
4048864;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;937,261567072946;05
4048864;1;4;1;50;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;937,261567072946;05
4048864;1;5;1;50;1; ; ;5;3; ;2;2;2;2;1;8; ;2; ;2; ; ;05;1;05;937,261567072946;05
4048864;1;6;1;50;1; ; ;6;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;937,261567072946;05
4048865;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1001,48114434827;05
4048866;1;1;1;50;1; ; ;1;6;CUIDAR A SU ESPOSO ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1001,48114434827;05
4048867;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048867;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048867;1;3;1;50;1; ; ;3;6;VER TELEVISION;2;1; ; ; ; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048867;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048867;1;5;1;50;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048867;1;7;1;50;1; ; ;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1179,951025131;05
4048868;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1385,93078757857;05
4048868;1;2;1;50;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1385,93078757857;05
4048869;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1151,20045153044;05
4048869;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1151,20045153044;05
4048870;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1062,77136393921;05
4048870;1;2;1;50;1; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;05;1;05;1062,77136393921;05
4048870;1;3;1;50;1; ; ;3;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1062,77136393921;05
4048870;1;4;1;50;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1062,77136393921;05
4048870;1;5;1;50;1; ; ;5;3; ;2;2;2;2;1;8; ;2; ;2; ; ;05;1;05;1062,77136393921;05
4048870;1;6;1;50;1; ; ;6;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1062,77136393921;05
4048871;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1151,20045153044;05
4048871;1;2;1;50;1; ; ;2;6;PASIAR;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1151,20045153044;05
4048872;1;1;1;50;1; ; ;1;6;EN VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;05;1;05;1409,11340200916;05
4048872;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1409,11340200916;05
4048872;1;3;1;50;1; ; ;3;6;SALIR A CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1409,11340200916;05
4048872;1;4;1;50;1; ; ;4;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1409,11340200916;05
4048873;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1189,48086841512;05
4048873;1;3;1;50;1;3; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1189,48086841512;05
