Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3373997;1;3;1;10;2;1;1;5;2003;10;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;12;27;1295,80516934109
3373997;1;4;1;10;2;2;1;12;2007;6;4; ;1; ; ;3; ; ;2;2;1;1;2;1; ;2;0;12;27;1295,80516934109
3373997;1;5;1;10;2;1;1;8;2009;4;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;12;27;1295,80516934109
3373998;1;1;1;10;2;2;1;11;1980;33;1;4;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;12;27;712,733685936065
3373998;1;2;1;10;2;2;1;9;1993;20;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;12;27;712,733685936065
3373998;1;3;1;10;2;1;1;1;1997;16;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;12;27;712,733685936065
3373998;1;4;1;10;1;2;1;12;1998;15;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;12;27;712,733685936065
3373999;1;1;1;10;1;1;1;5;1952;61;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;27;1054,76106600695
3373999;1;2;1;10;2;2;1;10;1955;58;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;12;27;1054,76106600695
3373999;1;3;1;10;2;1;1;4;1976;37;3;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;27;1054,76106600695
3373999;1;4;1;10;2;1;1;2;1997;16;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;12;27;1054,76106600695
3373999;1;5;1;10;2;2;1;6;1998;15;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;12;27;1054,76106600695
3373999;1;6;1;10;2;2;1;5;2000;13;4;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;12;27;1054,76106600695
3373999;1;7;1;10;2;2;1;12;2009;4;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;12;27;1054,76106600695
3373999;1;8;1;10;9;1;1;12;2010;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;27;1054,76106600695
3373999;1;9;1;10;9;2;1;4;1979;34;5;4;1; ; ;3; ; ;2;1;2; ;5;10;1;2;10;12;27;1054,76106600695
3374000;1;1;1;10;1;1;1;8;1975;38;1;4;1; ; ;1;4; ;2;1;2; ;3;4; ;2;4;12;27;1459,76061369421
3374001;1;1;1;10;2;1;1;8;1977;36;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;27;975,91226201415
3374001;1;2;1;10;2;2;1;9;1966;47;2;3;1; ; ;1;2;65000;2;1;2; ;4;6; ;2;6;12;27;975,91226201415
3374004;1;1;1;10;1;2;1;1;1953;60;1;4;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;12;27;809,794825323389
3374005;1;1;1;10;1;2;1;6;1979;34;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;27;1164,78289721525
3374005;1;2;1;10;1;1;1;12;1991;22;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;27;1164,78289721525
3374005;1;3;1;10;1;1;1;5;1995;18;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;12;27;1164,78289721525
3374005;1;4;1;10;1;1;1;8;1984;29;3;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;27;1164,78289721525
3374005;1;5;1;10;1;1;1;11;2010;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;27;1164,78289721525
3374005;1;6;1;10;1;2;1;1;1985;28;3;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;27;1164,78289721525
3374005;1;7;1;10;1;2;1;7;2009;4;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;27;1164,78289721525
3374005;1;8;1;10;1;2;1;12;2003;10;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;12;27;1164,78289721525
3374005;1;9;1;10;1;2;1;2;2007;6;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;27;1164,78289721525
3374005;1;10;1;10;1;2;1;3;2012;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;27;1164,78289721525
3374018;1;1;1;10;1;2;1;2;1963;50;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;12;27;1033,49480028317
3374018;1;2;1;10;2;1;1;10;1962;51;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;27;1033,49480028317
3374018;1;3;1;10;1;1;1;4;1995;18;3;6;1; ; ;3; ; ;2;1;2; ;5;10;1;2;10;12;27;1033,49480028317
3374020;1;1;1;10;1;1;1;2;1989;24;1;2;9; ; ; ; ; ;2;1;2; ;5;11;2;2;11;12;27;1106,71276151618
3374020;1;2;1;10;2;2;1;10;1987;26;2;2;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;12;27;1106,71276151618
3374020;1;3;1;10;4;2;1;4;2011;2;3; ;9; ; ; ; ; ;2; ; ; ; ; ; ;2; ;12;27;1106,71276151618
3374020;1;4;1;10;2;1;1;8;2013;0;3; ;9; ; ; ; ; ;9; ; ; ; ; ; ;2; ;12;27;1106,71276151618
3374020;1;5;1;10;5;2;1;6;1997;16;5;6;9; ; ; ; ; ;9;1;1;1;4;9; ;2;9;12;27;1106,71276151618
3374020;1;6;1;10;6;2;1;1;1999;14;5;6;9; ; ; ; ; ;9;1;1;1;4;7; ;2;7;12;27;1106,71276151618
3374020;1;7;1;10;2;2;1;5;2011;2;5; ;2;2; ; ; ; ;9; ; ; ; ; ; ;2; ;12;27;1106,71276151618
3374022;1;1;1;10;1;1;1;3;1963;50;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;12;27;1510,27293536045
3374022;1;2;1;10;2;2;1;12;1963;50;2;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;12;27;1510,27293536045
3374022;1;3;1;10;3;1;1;6;1987;26;3;6;2;9; ; ; ; ;2;1;2; ;5;11;2;2;11;12;27;1510,27293536045
3374022;1;4;1;10;4;1;1;1;1992;21;3;6;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;12;27;1510,27293536045
3374022;1;5;1;10;2;2;1;9;2006;7;3; ;2;2; ; ; ; ;2;1;1;1;3;2; ;2;2;12;27;1510,27293536045
3374022;1;6;1;10;2;1;1;5;1933;80;5;5;9; ; ; ; ; ;9;2;2; ;1;0; ;2;0;12;27;1510,27293536045
3374023;1;1;1;10;1;2;1;9;1973;40;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;27;780,590135976661
3374023;1;2;1;10;1;1;1;1;1996;17;3;6;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;12;27;780,590135976661
3374023;1;3;1;10;3;2;1;8;2006;7;3; ;9; ; ; ; ; ;9;1;1;1;3;2; ;2;2;12;27;780,590135976661
3374024;1;1;1;10;1;1;1;8;1958;55;1;3;1; ; ;1;1;120000;2;1;2; ;6;5;4;2;16;12;27;770,330883049752
3374024;1;2;1;10;2;2;1;4;1958;55;2;3;1; ; ;1;1;98;2;1;2; ;6;5;4;2;16;12;27;770,330883049752
3374025;1;1;1;10;1;2;1;6;1970;43;1;2;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;12;27;1007,81839025495
3374025;1;2;1;10;2;1;1;1;1967;46;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;12;27;1007,81839025495
3374025;1;3;1;10;3;2;1;9;2002;11;3;6;9; ; ; ; ; ;9;1;1;1;3;5; ;2;5;12;27;1007,81839025495
3374026;1;1;1;10;1;1;1;4;1966;47;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;27;975,91226201415
3374026;1;2;1;10;2;2;1;10;1962;51;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;27;975,91226201415
3374027;1;1;1;10;1;1;1;12;1958;55;1;3;1; ; ;1;4; ;2;1;2; ;6;5;4;2;16;12;27;537,593621432748
3374027;1;2;1;10;2;2;1;2;1969;44;2;3;9; ; ; ; ; ;9;1;2; ;5;11;2;2;11;12;27;537,593621432748
3374027;1;3;1;10;3;2;1;12;1985;28;3;6;2;2; ; ; ; ;2;1;2; ;6;5;2;2;16;12;27;537,593621432748
3374027;1;4;1;10;4;1;1;11;1992;21;3;6;1; ; ;3; ; ;2;1;1;1;5;10;2;2;10;12;27;537,593621432748
3374027;1;5;1;10;2;1;1;2;2006;7;4; ;9; ; ; ; ; ;9;1;1;1;3;1; ;2;1;12;27;537,593621432748
3374028;1;1;1;10;1;2;1;9;1955;58;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;27;899,283491833215
3374028;1;2;1;10;1;1;1;12;2002;11;4;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;12;27;899,283491833215
3374028;1;3;1;10;1;2;1;4;2002;11;4;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;12;27;899,283491833215
3374029;1;1;1;10;1;2;1;10;1950;63;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;27;1194,3681961521
3374029;1;2;1;10;1;1;1;1;1981;32;3;6;1; ; ;9; ; ;9;2;2; ;1;0; ;2;0;12;27;1194,3681961521
3374031;1;1;1;10;1;2;1;4;1988;25;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;27;723,007597707637
3374031;1;2;1;10;1;2;1;12;2012;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;27;723,007597707637
3374032;1;1;1;10;1;2;1;5;1982;31;1;2;1; ; ;3; ; ;2;2;2; ;3;3; ;2;3;12;27;1688,75720093471
3374032;1;2;1;10;1;1;1;6;1988;25;2;2;1; ; ;3; ; ;2;2;2; ;3;4; ;2;4;12;27;1688,75720093471
3374032;1;3;1;10;1;1;1;10;2002;11;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;12;27;1688,75720093471
3374032;1;4;1;10;1;1;1;7;2004;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;12;27;1688,75720093471
3374032;1;5;1;10;1;1;1;2;2006;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;27;1688,75720093471
3374032;1;6;1;10;1;1;1;7;2009;4;3; ;9; ; ; ; ; ;9;2;2; ;1;0; ;2;0;12;27;1688,75720093471
3374032;1;7;1;10;1;2;1;11;2011;2;3; ;9; ; ; ; ; ;9; ; ; ; ; ; ;2; ;12;27;1688,75720093471
3374032;1;8;1;10;1;2;1;12;2013;0;3; ;9; ; ; ; ; ;9; ; ; ; ; ; ;2; ;12;27;1688,75720093471
3374033;1;1;1;10;1;2;1;12;1956;56;1;3;1; ; ;1;1;230000;1;1;2; ;6;6;5;2;17;12;27;1031,61420812117
3374033;1;2;1;10;1;1;1;5;1957;56;2;3;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;12;27;1031,61420812117
3374033;1;3;1;10;1;1;1;7;2008;5;4; ;1; ; ;3; ; ;1;2;1;1;2;0; ;2;0;12;27;1031,61420812117
3374033;1;4;1;10;1;1;1;12;2009;4;4; ;1; ; ;3; ; ;1;2;1;1;2;1; ;2;0;12;27;1031,61420812117
3374034;1;1;1;10;1;1;1;9;1962;51;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;12;27;1033,49480028317
