DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;MES;DPTO;fex_c_2011
2489205;1;1;1;10;1;1;1;2;1960;50;1;3;1; ; ;1;4; ;2;2;2; ;3;2; ;2;2;08;63;700,186624025875
2489205;1;2;1;10;2;2;1;5;1953;57;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;08;63;700,186624025875
2489206;1;1;1;10;1;1;1;11;1959;50;1;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;08;63;496,653610655005
2489206;1;2;1;10;2;2;1;6;1961;49;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;08;63;496,653610655005
2489206;1;3;1;10;3;1;1;7;2001;9;3; ;2;1;96; ; ; ;2;2;1;1;3;0; ;2;0;08;63;496,653610655005
2489206;1;4;1;10;4;2;1;3;1983;27;3;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;496,653610655005
2489206;1;5;1;10;5;1;1;5;2000;10;4;6;2;1;4; ; ; ;1;1;1;1;3;2; ;2;2;08;63;496,653610655005
2489206;1;6;1;10;4;1;1;11;2001;8;4; ;2;1;4; ; ; ;1;2;1;1;3;1; ;2;1;08;63;496,653610655005
2489206;1;7;1;10;4;2;1;10;2003;6;4; ;2;1;4; ; ; ;2;2;1;1;2;0; ;2;0;08;63;496,653610655005
2489206;1;8;1;10;4;1;1;10;2007;2;4; ;2;1;4; ; ; ;1; ; ; ; ; ; ;2; ;08;63;496,653610655005
2489206;1;9;1;10;9;1;1;11;1959;50;5;6;2;2; ; ; ; ;1;1;2; ;3;5; ;2;5;08;63;496,653610655005
2489207;1;1;1;10;1;1;1;9;1980;29;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;813,845608781511
2489207;1;2;1;10;2;2;1;5;1988;22;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;08;63;813,845608781511
2489207;1;3;1;10;2;1;1;5;2005;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;08;63;813,845608781511
2489207;1;4;1;10;2;2;1;12;2009;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;08;63;813,845608781511
2489209;1;1;1;10;1;1;1;6;1967;43;1;3;2;1;11; ; ; ;2;1;2; ;3;4; ;2;4;08;63;573,054778197437
2489209;1;2;1;10;2;2;1;11;1970;39;2;3;2;1;11; ; ; ;1;1;2; ;3;3; ;2;3;08;63;573,054778197437
2489209;1;3;1;10;3;2;1;5;1992;18;3;6;2;1;11; ; ; ;1;1;1;1;5;10;1;2;10;08;63;573,054778197437
2489209;1;4;1;10;4;1;1;11;2001;8;3; ;2;1;11; ; ; ;2;1;1;1;3;2; ;2;2;08;63;573,054778197437
2489210;1;1;1;10;1;1;1;6;1971;39;1;2;2;1;19; ; ; ;1;1;2; ;3;3; ;2;3;08;63;651,744431838823
2489210;1;2;1;10;2;2;1;7;1982;28;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;08;63;651,744431838823
2489210;1;3;1;10;3;2;1;1;1999;11;3;6;1; ; ;3; ; ;1;1;1;1;3;4; ;2;4;08;63;651,744431838823
2489210;1;4;1;10;2;1;1;9;2002;7;3; ;1; ; ;3; ; ;1;1;1;1;3;2; ;2;2;08;63;651,744431838823
2489210;1;5;1;10;2;1;1;4;2004;6;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;08;63;651,744431838823
2489210;1;6;1;10;2;1;1;10;2006;3;3; ;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;08;63;651,744431838823
2489218;1;1;1;10;1;1;1;7;1984;26;1;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;08;63;812,75404578629
2489218;1;2;1;10;2;2;1;11;1985;24;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;08;63;812,75404578629
2489218;1;3;1;10;3;2;1;7;2003;7;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;08;63;812,75404578629
2489218;1;4;1;10;2;2;1;3;2005;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;08;63;812,75404578629
2489218;1;5;1;10;2;1;1;3;2008;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;08;63;812,75404578629
2489219;1;1;1;10;1;1;1;8;1937;72;1;2;1; ; ;1;2;64375;2;1;2; ;3;5; ;2;5;08;63;670,549557187255
2489219;1;2;1;10;2;2;1;4;1948;62;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;08;63;670,549557187255
2489221;1;1;1;10;1;1;1;7;1985;25;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;08;63;813,845608781511
2489221;1;2;1;10;2;2;1;6;1986;24;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;08;63;813,845608781511
2489221;1;3;1;10;2;2;1;2;2004;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;08;63;813,845608781511
2489221;1;4;1;10;2;1;1;10;2008;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;08;63;813,845608781511
2489222;1;1;1;10;1;1;1;6;1969;41;1;2;2;1;120; ; ; ;2;1;2; ;3;4; ;2;4;08;63;579,809708202279
2489222;1;2;1;10;2;2;1;8;1968;41;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;579,809708202279
2489222;1;3;1;10;2;1;1;9;1998;11;5;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;08;63;579,809708202279
2489223;1;1;1;10;1;1;1;7;1970;40;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;696,752625669136
2489223;1;2;1;10;2;2;1;4;1978;32;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;08;63;696,752625669136
2489223;1;3;1;10;2;1;1;11;1998;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;08;63;696,752625669136
2489223;1;4;1;10;2;2;1;6;2001;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;08;63;696,752625669136
2489223;1;5;1;10;2;1;1;7;2004;6;3; ;1; ; ;3; ; ;2;1;1;1;2;0; ;2;0;08;63;696,752625669136
2489223;1;6;1;10;2;1;1;7;2004;6;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;08;63;696,752625669136
2489223;1;7;1;10;2;1;1;12;2008;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;08;63;696,752625669136
2489224;1;1;1;10;1;1;1;12;1961;48;1;3;1; ; ;1;4; ;2;1;2; ;3;5; ;2;5;08;63;837,468656239226
2489224;1;2;1;10;2;2;1;9;1968;41;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;08;63;837,468656239226
2489224;1;3;1;10;3;1;1;11;1989;20;3;6;2;1;6; ; ; ;2;1;2; ;5;11;2;2;11;08;63;837,468656239226
2489224;1;4;1;10;4;1;1;7;1992;18;3;6;2;1;5; ; ; ;2;1;2; ;5;11;2;2;11;08;63;837,468656239226
2489224;1;5;1;10;5;1;1;5;1993;17;9;6;2;1;12; ; ; ;2;1;2; ;3;5; ;2;5;08;63;837,468656239226
2489225;1;1;1;10;1;1;1;2;1968;42;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;08;63;612,39960501813
2489225;1;2;1;10;2;2;1;6;1968;42;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;612,39960501813
2489225;1;3;1;10;2;2;1;1;1996;14;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;08;63;612,39960501813
2489225;1;4;1;10;2;1;1;9;2002;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;08;63;612,39960501813
2489225;1;5;1;10;2;1;1;7;2006;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;63;612,39960501813
2489233;1;1;1;10;1;1;1;12;1974;35;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;490,325061004498
2489233;1;2;1;10;2;2;1;9;1955;54;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;490,325061004498
2489233;1;3;1;10;2;1;1;9;2000;9;9; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;08;63;490,325061004498
2489235;1;1;1;10;1;1;1;5;1960;50;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;713,780052493087
2489235;1;2;1;10;2;2;1;7;1969;41;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;08;63;713,780052493087
2489235;1;3;1;10;3;1;1;9;1992;17;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;08;63;713,780052493087
2489235;1;4;1;10;2;1;1;6;2000;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;08;63;713,780052493087
2489235;1;5;1;10;2;2;1;7;2004;6;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;63;713,780052493087
2489235;1;6;1;10;2;2;1;7;2006;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;63;713,780052493087
2489235;1;7;1;10;7;2;1;4;1947;63;5;6;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;08;63;713,780052493087
2489236;1;1;1;10;1;1;1;1;1953;57;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;545,856263103287
2489236;1;2;1;10;2;2;1;12;1963;46;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;545,856263103287
2489236;1;3;1;10;3;1;1;6;1984;26;8;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;545,856263103287
2489236;1;4;1;10;4;2;1;6;1993;17;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;08;63;545,856263103287
2489238;1;1;1;10;1;1;1;10;1937;72;1;3;1; ; ;1;2;75000;2;1;2; ;3;2; ;2;2;08;63;722,04069573449
2489238;1;2;1;10;2;2;1;10;1943;66;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;08;63;722,04069573449
2489238;1;3;1;10;2;1;1;2;2001;9;4; ;1; ; ;3; ; ;2;1;1;2;3;3; ;2;3;08;63;722,04069573449
2489238;1;4;1;10;2;1;1;6;1916;94;5;5;1; ; ;3; ; ;2;1;2; ;6;2;2;2;13;08;63;722,04069573449
2489244;1;1;1;10;1;1;1;2;1969;41;1;3;1; ; ;3; ; ;2;1;2; ;6;1;2;2;12;08;63;578,718145207058
2489244;1;2;1;10;2;2;1;7;1970;40;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;08;63;578,718145207058
2489244;1;3;1;10;2;1;1;1;1995;15;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;08;63;578,718145207058
2489244;1;4;1;10;2;2;1;3;2003;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;08;63;578,718145207058
2489245;1;1;1;10;1;1;1;11;1956;53;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;08;63;712,332935752418
2489245;1;2;1;10;2;2;1;11;1951;58;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;712,332935752418
2489245;1;3;1;10;3;1;1;7;1953;57;9;4;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;08;63;712,332935752418
2489246;1;1;1;10;1;1;1;6;1952;58;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;63;841,162409770891
2489246;1;2;1;10;1;2;1;12;1953;56;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;63;841,162409770891
2489246;1;3;1;10;1;1;1;12;1980;29;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;63;841,162409770891
2489246;1;4;1;10;1;1;1;6;1996;14;5;6;2;1;6; ; ; ;2;1;1;1;4;0; ;2;5;08;63;841,162409770891
2493243;1;1;1;10;1;1;1;9;1979;30;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;08;66;1235,64391857793
2493243;1;2;1;10;2;2;1;9;1972;37;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;08;66;1235,64391857793
2493243;1;3;1;10;3;2;1;5;1991;19;3;6;2;1;8; ; ; ;1;1;2; ;5;11;2;2;11;08;66;1235,64391857793
2493243;1;4;1;10;2;1;1;1;1996;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;08;66;1235,64391857793
2493243;1;5;1;10;2;1;1;4;2010;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;08;66;1235,64391857793
2493244;1;1;1;10;1;1;1;8;1940;69;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;08;66;754,654306794863
2493244;1;2;1;10;2;2;1;6;1951;59;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;08;66;754,654306794863
