Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3450658;1;1;1;10;1;1;1;2;1957;57;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;04;13;2118,66736152774
3450658;1;2;1;10;2;2;1;2;1970;44;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;04;13;2118,66736152774
3450658;1;3;1;10;3;1;1;4;1996;18;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;04;13;2118,66736152774
3450658;1;4;1;10;2;1;1;5;2001;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;04;13;2118,66736152774
3450659;1;1;1;10;1;1;1;5;1943;70;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;04;13;1984,52700926738
3450659;1;2;1;10;2;2;1;10;1946;67;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;04;13;1984,52700926738
3450659;1;3;1;10;3;2;1;12;1973;40;3;4;1; ; ;3; ; ;2;1;2; ;6;3;3;2;14;04;13;1984,52700926738
3450659;1;4;1;10;3;1;1;12;2004;9;4; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;04;13;1984,52700926738
3450659;1;5;1;10;3;2;1;6;2007;6;4; ;1; ; ;3; ; ;2;2;1;1;3;1; ;2;1;04;13;1984,52700926738
3450659;1;6;1;10;3;2;1;10;1926;87;5;5;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;04;13;1984,52700926738
3450661;1;1;1;10;1;1;1;6;1946;67;1;5;1; ; ;1;3;80000;2;2;2; ;1;0; ;2;0;04;13;2557,39736165746
3450661;1;2;1;10;1;1;1;6;1968;45;3;6;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;04;13;2557,39736165746
3450661;1;3;1;10;1;2;1;9;1996;17;4;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;04;13;2557,39736165746
3450662;1;1;1;10;1;1;1;6;1969;44;1;3;1; ; ;1;5; ;2;1;2; ;6;6;5;2;17;04;13;2298,96527925858
