Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3792313;1;1;1;10;1;2;1;11;1966;48;1;3;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;08;63;579,343531832339
3792313;1;2;1;10;2;1;1;7;1972;43;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;579,343531832339
3792313;1;3;1;10;3;2;1;1;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;08;63;579,343531832339
3792316;1;1;1;10;1;1;1;7;1964;51;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;08;63;514,246775982392
3792316;1;2;1;10;2;2;1;9;1972;42;2;1;2;1;18; ; ; ;2;1;2; ;4;7; ;2;7;08;63;514,246775982392
3792316;1;3;1;10;3;2;1;3;1999;16;3;6;2;1;18; ; ; ;2;1;1;1;4;9; ;2;9;08;63;514,246775982392
3792316;1;4;1;10;4;2;1;6;2000;15;3;6;2;1;18; ; ; ;2;1;1;1;4;7; ;2;7;08;63;514,246775982392
3792316;1;5;1;10;5;2;1;2;2002;13;3;6;2;1;18; ; ; ;2;1;1;1;4;7; ;2;7;08;63;514,246775982392
3792316;1;6;1;10;6;1;1;2;2005;10;3;6;2;1;18; ; ; ;2;1;1;1;3;1; ;2;1;08;63;514,246775982392
3792320;1;1;1;10;1;1;1;4;1952;63;1;2;1; ; ;1;2;504000;2;1;1;2;6;6;5;2;17;08;63;685,227101794404
3792320;1;2;1;10;2;2;1;6;1954;61;2;2;1; ; ;2;1;260000;2;1;2; ;6;7;5;2;18;08;63;685,227101794404
3792323;1;1;1;10;1;1;1;1;1970;45;1;3;1; ; ;1;1;25800;2;1;2; ;3;4; ;2;4;08;63;579,343531832339
3792323;1;2;1;10;2;2;1;8;1967;47;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;08;63;579,343531832339
3792323;1;3;1;10;1;2;1;2;2000;15;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;2;7;08;63;579,343531832339
3792324;1;1;1;10;1;1;1;2;1935;80;1;3;1; ; ;1;2;77400;2;1;2; ;3;2; ;2;2;08;63;752,000278001328
3796198;1;1;1;10;1;2;1;6;1972;43;1;4;1; ; ;3; ; ;1;1;2; ;3;3; ;2;3;08;63;811,955208925937
3796198;1;2;1;10;2;1;1;5;1998;17;3;6;1; ; ;3; ; ;1;1;1;1;5;10;1;2;10;08;63;811,955208925937
3796198;1;3;1;10;1;2;1;10;2008;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;08;63;811,955208925937
3796199;1;1;1;10;1;1;1;1;1968;47;1;3;2;1;148; ; ; ;2;1;2; ;4;7; ;2;7;08;63;578,3527908076
3796199;1;2;1;10;2;2;1;7;1977;38;2;3;2;1;148; ; ; ;2;1;2; ;4;9; ;2;9;08;63;578,3527908076
3796199;1;3;1;10;1;1;1;12;1999;15;3;6;2;1;148; ; ; ;2;1;1;1;4;8; ;2;8;08;63;578,3527908076
3796199;1;4;1;10;4;2;1;3;1946;69;5;4;2;1;48; ; ; ;2;1;2; ;3;3; ;2;3;08;63;578,3527908076
3796199;1;5;1;10;5;2;1;8;1995;20;9;6;1; ; ;1;5; ;2;1;1;1;5;10;1;2;10;08;63;578,3527908076
3796200;1;1;1;10;1;1;1;8;1988;26;1;2;2;1;96; ; ; ;1;1;2; ;3;4; ;2;4;08;63;912,009667609102
3796200;1;2;1;10;2;2;1;2;1978;37;2;2;2;1;7; ; ; ;2;1;2; ;3;5; ;2;5;08;63;912,009667609102
3796200;1;3;1;10;3;1;1;4;1993;22;3;6;2;1;12; ; ; ;2;1;2; ;4;8; ;2;8;08;63;912,009667609102
3796200;1;4;1;10;4;1;1;3;2000;15;3;6;2;1;84; ; ; ;2;1;2; ;3;5; ;2;5;08;63;912,009667609102
3796200;1;5;1;10;2;2;1;9;2008;6;3; ;2;1;7; ; ; ;2;1;1;1;3;0; ;2;0;08;63;912,009667609102
3796201;1;1;1;10;1;1;1;9;1987;27;1;2;2;1;7; ; ; ;2;1;2; ;5;11;2;2;11;08;63;975,894827648451
3796201;1;2;1;10;2;2;1;8;1990;25;2;2;2;1;7; ; ; ;2;1;2; ;5;11;2;2;11;08;63;975,894827648451
3796201;1;3;1;10;2;1;1;9;2011;3;3; ;2;1;7; ; ; ;2;2;2; ;1;0; ;2;0;08;63;975,894827648451
3796202;1;1;1;10;1;1;1;10;1980;34;1;2;2;2; ; ; ; ;2;1;2; ;3;4; ;2;4;08;63;920,888946005249
3796202;1;2;1;10;2;2;1;5;1984;31;2;2;2;1;276; ; ; ;1;1;2; ;3;5; ;2;5;08;63;920,888946005249
3796202;1;3;1;10;3;2;1;5;2001;14;3;6;2;2; ; ; ; ;2;1;1;1;4;6; ;2;6;08;63;920,888946005249
3796202;1;4;1;10;4;2;1;12;2004;10;3;6;2;2; ; ; ; ;2;1;1;1;3;3; ;2;3;08;63;920,888946005249
3796202;1;5;1;10;2;2;1;7;2009;6;3; ;2;2; ; ; ; ;2;2;1;1;2;0; ;2;0;08;63;920,888946005249
3796202;1;6;1;10;2;2;1;11;2011;3;3; ;2;2; ; ; ; ;1;2;2; ;1;0; ;2;0;08;63;920,888946005249
3796202;1;7;1;10;2;2;1;1;2014;1;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;08;63;920,888946005249
3796203;1;1;1;10;1;1;1;7;1953;62;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;959,654893072947
3796203;1;2;1;10;2;2;1;5;1954;61;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;08;63;959,654893072947
