Directorio;Secuencia_p;Orden;Area;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Dpto;Fex_c_2011
216261;2;2;05;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;727,147296322201
216261;2;3;05;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;727,147296322201
216262;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;836,18849751805
216262;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;836,18849751805
216263;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,463410121151
216263;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,463410121151
216265;2;1;05;50;1;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;880,820615886583
216265;2;2;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;880,820615886583
216267;2;1;05;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;585,240712230473
216267;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;585,240712230473
216267;2;3;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;585,240712230473
216267;2;4;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;585,240712230473
216268;2;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;894,440004704801
216268;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;894,440004704801
216268;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;894,440004704801
216268;2;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;894,440004704801
216268;2;5;05;50;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;894,440004704801
216269;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;950,929882878171
216270;2;1;05;50;1;6;vacaciones;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;637,342048880174
216270;2;2;05;50;1;4; ;2;2;2;2; ; ;1;3; ;2; ;2; ; ;05;637,342048880174
216271;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;880,211830364785
216271;2;2;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;880,211830364785
216271;2;5;05;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;880,211830364785
216272;2;1;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;701,249296952328
216272;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;701,249296952328
216273;2;1;05;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;651,142258772517
216273;2;2;05;50;2;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;651,142258772517
216273;2;3;05;50;3;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;651,142258772517
216275;2;1;05;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;705,210093631797
216276;2;1;05;50;1;6;DESANSAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1007,44200258012
216276;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1007,44200258012
216276;2;3;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1007,44200258012
216277;2;1;05;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;959,576186640273
216277;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;959,576186640273
216277;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;959,576186640273
216277;2;4;05;50;4;6;DESCANSAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;959,576186640273
216278;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;731,808521637194
216279;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;826,979891752079
216279;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;826,979891752079
216279;2;3;05;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;826,979891752079
216280;2;1;05;50;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;930,983460164986
216280;2;2;05;50;2;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;05;930,983460164986
216280;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;930,983460164986
216280;2;4;05;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;930,983460164986
216280;2;5;05;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;930,983460164986
216281;2;1;05;50;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;783,347556283028
216281;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;783,347556283028
216281;2;3;05;50;3;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;783,347556283028
216282;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;660,350864538487
